Date,Moonlight,Rocky Point,Waterfall
30/04/2022 10:00,20.25761904761905,20.17797619047619,19.691857142857142
29/04/2022 22:00,20.378538133415564,20.24301447871026,13.119212860310421
29/04/2022 10:00,20.678147548566145,20.564452478425494,19.92139329268293
28/04/2022 22:00,20.026274758454107,19.851057123034227,19.284712908397115
28/04/2022 10:00,20.412770092226612,20.217661295527396,19.748457871396898
27/04/2022 22:00,19.92859158186864,19.670960568055293,19.155976190476192
27/04/2022 10:00,20.050742513790386,19.793913442940042,19.299380227175476
26/04/2022 22:00,19.774352836879434,19.563599838969402,18.96262643041713
26/04/2022 10:00,20.005631205673758,19.672287037037037,19.30911111111111
25/04/2022 22:00,19.497919621749407,19.387748708010335,18.818931828405514
25/04/2022 10:00,19.81833330186839,19.450851414234858,19.188253968253967
24/04/2022 22:00,19.084816784869975,19.068341795615726,18.545640591966176
24/04/2022 10:00,19.756927009456263,19.454742063492066,19.31625787491641
23/04/2022 22:00,18.838032407407407,18.876595384304906,18.499516568702614
23/04/2022 10:00,19.586147342995172,19.33529966329966,19.238553113553113
22/04/2022 22:00,18.877327127659573,18.861841989563516,18.49189325882943
22/04/2022 10:00,19.421724033816428,19.33026955602537,19.014164814513652
21/04/2022 22:00,19.21070547675335,19.24209050996285,18.81156286295006
21/04/2022 10:00,20.130734402302394,20.009937015503876,19.60412033960871
20/04/2022 22:00,19.73456412529551,19.686009779262193,19.072109597719354
20/04/2022 10:00,20.566335204885732,20.409847345636823,19.86891798941799
19/04/2022 22:00,20.06248374704492,19.91966877104377,19.310077519379846
19/04/2022 10:00,20.702472222222223,20.420386693684566,19.79177518777519
18/04/2022 22:00,20.415090579710142,20.130851063829784,19.350361712361714
18/04/2022 10:00,20.93816129273864,20.585430926443653,19.901093495934962
17/04/2022 22:00,20.175649572649572,19.77657456140351,19.10745985060691
